campaign_id,campaign_name,campaign_type,primary_objective,budget,start_date,end_date,duration_days,channels,target_audience,communication_strategy,performance_metrics,social_metrics,sentiment_analysis,pr_metrics,brand_impact,roi_metrics
C011,Campaign 11: Brand Awareness,Brand Awareness,Engage Audience,12413.27,2025-11-17 12:29:37.580335,2025-12-17 12:29:37.580335,30,"[np.str_('Influencer'), np.str_('Website'), np.str_('Events')]","{'age_min': np.int64(35), 'age_max': np.int64(46), 'gender': np.str_('Male'), 'income': np.str_('Low')}","{'primary_message': np.str_('Emotional'), 'tone': np.str_('Professional'), 'frequency': np.str_('Weekly')}","{'reach': 48588, 'impressions': 220409, 'engagements': 10023, 'clicks': 4341, 'conversions': 339, 'engagement_rate': 0.04547454958735805, 'click_through_rate': 0.01969520300895154, 'conversion_rate': 0.07809260539046303, 'campaign_id': 'C011', 'campaign_type': np.str_('Brand Awareness'), 'budget': 12413.27, 'roi': 216.5, 'effectiveness_score': 49.7}","{'likes': 4096, 'shares': 2169, 'comments': 3699, 'saves': 540}","{'positive': 0.579, 'neutral': 0.233, 'negative': 0.188, 'sentiment_score': 0.391}","{'media_mentions': 17, 'earned_media_value': 15117.94, 'share_of_voice': 0.079}","{'awareness_lift': 25.0, 'favorability_change': 4.7, 'purchase_intent_increase': 19.8}","{'total_value_generated': 39286.47, 'roi_percentage': 216.5, 'effectiveness_score': 49.7}"
C012,Campaign 12: CSR Initiative,CSR Initiative,Increase Brand Awareness,7618.66,2025-09-15 12:29:37.585968,2025-10-15 12:29:37.585968,30,"[np.str_('Website'), np.str_('PR')]","{'age_min': np.int64(45), 'age_max': np.int64(63), 'gender': np.str_('Mixed'), 'income': np.str_('High')}","{'primary_message': np.str_('Entertaining'), 'tone': np.str_('Inspirational'), 'frequency': np.str_('Weekly')}","{'reach': 50416, 'impressions': 227957, 'engagements': 5334, 'clicks': 1941, 'conversions': 143, 'engagement_rate': 0.023399149839662743, 'click_through_rate': 0.008514763749303596, 'conversion_rate': 0.07367336424523442, 'campaign_id': 'C012', 'campaign_type': np.str_('CSR Initiative'), 'budget': 7618.66, 'roi': 46.6, 'effectiveness_score': 25.1}","{'likes': 2595, 'shares': 1102, 'comments': 1570, 'saves': 285}","{'positive': 0.49, 'neutral': 0.289, 'negative': 0.221, 'sentiment_score': 0.269}","{'media_mentions': 17, 'earned_media_value': 18194.21, 'share_of_voice': 0.116}","{'awareness_lift': 5.8, 'favorability_change': 9.7, 'purchase_intent_increase': 11.6}","{'total_value_generated': 11170.83, 'roi_percentage': 46.6, 'effectiveness_score': 25.1}"
C013,Campaign 13: Product Launch,Product Launch,Increase Brand Awareness,25809.85,2025-10-13 12:29:37.587162,2025-11-12 12:29:37.587162,30,"[np.str_('Email'), np.str_('Content Marketing'), np.str_('Influencer'), np.str_('Website')]","{'age_min': np.int64(45), 'age_max': np.int64(62), 'gender': np.str_('Female'), 'income': np.str_('Medium')}","{'primary_message': np.str_('Call-to-Action'), 'tone': np.str_('Inspirational'), 'frequency': np.str_('Bi-weekly')}","{'reach': 50249, 'impressions': 216755, 'engagements': 10920, 'clicks': 5638, 'conversions': 682, 'engagement_rate': 0.0503794606814145, 'click_through_rate': 0.026010934003829207, 'conversion_rate': 0.12096488116353317, 'campaign_id': 'C013', 'campaign_type': np.str_('Product Launch'), 'budget': 25809.85, 'roi': 164.9, 'effectiveness_score': 44.5}","{'likes': 4719, 'shares': 1741, 'comments': 3871, 'saves': 1149}","{'positive': 0.541, 'neutral': 0.296, 'negative': 0.163, 'sentiment_score': 0.378}","{'media_mentions': 19, 'earned_media_value': 11577.45, 'share_of_voice': 0.181}","{'awareness_lift': 24.4, 'favorability_change': -2.1, 'purchase_intent_increase': 10.7}","{'total_value_generated': 68357.54, 'roi_percentage': 164.9, 'effectiveness_score': 44.5}"
C014,Campaign 14: Crisis Management,Crisis Management,Manage Reputation,30761.1,2025-11-08 12:29:37.587876,2025-12-08 12:29:37.587876,30,"[np.str_('Content Marketing'), np.str_('Social Media'), np.str_('Paid Ads')]","{'age_min': np.int64(25), 'age_max': np.int64(44), 'gender': np.str_('Male'), 'income': np.str_('All')}","{'primary_message': np.str_('Educational'), 'tone': np.str_('Professional'), 'frequency': np.str_('Monthly')}","{'reach': 55715, 'impressions': 160393, 'engagements': 3519, 'clicks': 2281, 'conversions': 164, 'engagement_rate': 0.021939860218338707, 'click_through_rate': 0.014221318885487522, 'conversion_rate': 0.07189829022358615, 'campaign_id': 'C014', 'campaign_type': np.str_('Crisis Management'), 'budget': 30761.1, 'roi': -49.0, 'effectiveness_score': 13.7}","{'likes': 1491, 'shares': 682, 'comments': 1036, 'saves': 256}","{'positive': 0.616, 'neutral': 0.339, 'negative': 0.045, 'sentiment_score': 0.571}","{'media_mentions': 13, 'earned_media_value': 16423.36, 'share_of_voice': 0.198}","{'awareness_lift': 5.5, 'favorability_change': 5.8, 'purchase_intent_increase': 16.3}","{'total_value_generated': 15687.31, 'roi_percentage': -49.0, 'effectiveness_score': 13.7}"
C015,Campaign 15: CSR Initiative,CSR Initiative,Manage Reputation,17653.82,2025-10-30 12:29:37.591563,2025-11-29 12:29:37.591563,30,"[np.str_('Content Marketing'), np.str_('Paid Ads'), np.str_('Events')]","{'age_min': np.int64(45), 'age_max': np.int64(60), 'gender': np.str_('Mixed'), 'income': np.str_('All')}","{'primary_message': np.str_('Informational'), 'tone': np.str_('Urgent'), 'frequency': np.str_('Weekly')}","{'reach': 67965, 'impressions': 299485, 'engagements': 7155, 'clicks': 2562, 'conversions': 222, 'engagement_rate': 0.023891012905487754, 'click_through_rate': 0.00855468554351637, 'conversion_rate': 0.08665105386416862, 'campaign_id': 'C015', 'campaign_type': np.str_('CSR Initiative'), 'budget': 17653.82, 'roi': 63.0, 'effectiveness_score': 33.7}","{'likes': 4611, 'shares': 836, 'comments': 2206, 'saves': 912}","{'positive': 0.663, 'neutral': 0.337, 'negative': 0.0, 'sentiment_score': 0.662}","{'media_mentions': 13, 'earned_media_value': 23779.2, 'share_of_voice': 0.248}","{'awareness_lift': 16.1, 'favorability_change': 1.2, 'purchase_intent_increase': 10.5}","{'total_value_generated': 28773.09, 'roi_percentage': 63.0, 'effectiveness_score': 33.7}"
C016,Campaign 16: Crisis Management,Crisis Management,Manage Reputation,14591.62,2025-10-21 12:29:37.594143,2025-11-20 12:29:37.594143,30,"[np.str_('Social Media'), np.str_('Events'), np.str_('Influencer')]","{'age_min': np.int64(35), 'age_max': np.int64(45), 'gender': np.str_('Female'), 'income': np.str_('Medium')}","{'primary_message': np.str_('Informational'), 'tone': np.str_('Friendly'), 'frequency': np.str_('Bi-weekly')}","{'reach': 54533, 'impressions': 156337, 'engagements': 3695, 'clicks': 2515, 'conversions': 136, 'engagement_rate': 0.023634840121020614, 'click_through_rate': 0.016087042734605372, 'conversion_rate': 0.054075546719681906, 'campaign_id': 'C016', 'campaign_type': np.str_('Crisis Management'), 'budget': 14591.62, 'roi': 22.7, 'effectiveness_score': 23.1}","{'likes': 2515, 'shares': 898, 'comments': 1141, 'saves': 353}","{'positive': 0.542, 'neutral': 0.275, 'negative': 0.182, 'sentiment_score': 0.36}","{'media_mentions': 19, 'earned_media_value': 21021.44, 'share_of_voice': 0.056}","{'awareness_lift': 16.2, 'favorability_change': 7.8, 'purchase_intent_increase': 14.1}","{'total_value_generated': 17900.99, 'roi_percentage': 22.7, 'effectiveness_score': 23.1}"
C017,Campaign 17: Product Launch,Product Launch,Manage Reputation,24758.43,2025-11-07 12:29:37.595002,2025-12-07 12:29:37.595002,30,"[np.str_('Website'), np.str_('PR'), np.str_('Content Marketing'), np.str_('Influencer')]","{'age_min': np.int64(35), 'age_max': np.int64(59), 'gender': np.str_('Mixed'), 'income': np.str_('Medium')}","{'primary_message': np.str_('Entertaining'), 'tone': np.str_('Humorous'), 'frequency': np.str_('Monthly')}","{'reach': 54024, 'impressions': 235731, 'engagements': 10511, 'clicks': 5940, 'conversions': 397, 'engagement_rate': 0.04458895944954206, 'click_through_rate': 0.025198213217608206, 'conversion_rate': 0.06683501683501683, 'campaign_id': 'C017', 'campaign_type': np.str_('Product Launch'), 'budget': 24758.43, 'roi': 24.5, 'effectiveness_score': 27.7}","{'likes': 7188, 'shares': 2235, 'comments': 3234, 'saves': 664}","{'positive': 0.797, 'neutral': 0.317, 'negative': -0.113, 'sentiment_score': 0.91}","{'media_mentions': 16, 'earned_media_value': 8638.93, 'share_of_voice': 0.228}","{'awareness_lift': 12.4, 'favorability_change': -3.7, 'purchase_intent_increase': 13.3}","{'total_value_generated': 30824.07, 'roi_percentage': 24.5, 'effectiveness_score': 27.7}"
C018,Campaign 18: CSR Initiative,CSR Initiative,Manage Reputation,29224.38,2025-09-28 12:29:37.598847,2025-10-28 12:29:37.598847,30,"[np.str_('Paid Ads'), np.str_('Social Media'), np.str_('Email'), np.str_('Content Marketing')]","{'age_min': np.int64(35), 'age_max': np.int64(48), 'gender': np.str_('Mixed'), 'income': np.str_('High')}","{'primary_message': np.str_('Educational'), 'tone': np.str_('Urgent'), 'frequency': np.str_('Daily')}","{'reach': 70496, 'impressions': 313580, 'engagements': 11100, 'clicks': 3973, 'conversions': 547, 'engagement_rate': 0.03539766566745328, 'click_through_rate': 0.012669813125837107, 'conversion_rate': 0.1376793355147244, 'campaign_id': 'C018', 'campaign_type': np.str_('CSR Initiative'), 'budget': 29224.38, 'roi': 134.4, 'effectiveness_score': 42.3}","{'likes': 6231, 'shares': 1911, 'comments': 3041, 'saves': 1634}","{'positive': 0.462, 'neutral': 0.194, 'negative': 0.344, 'sentiment_score': 0.118}","{'media_mentions': 19, 'earned_media_value': 13355.87, 'share_of_voice': 0.202}","{'awareness_lift': 7.9, 'favorability_change': 7.6, 'purchase_intent_increase': 9.0}","{'total_value_generated': 68498.1, 'roi_percentage': 134.4, 'effectiveness_score': 42.3}"
C019,Campaign 19: Product Launch,Product Launch,Engage Audience,41171.08,2025-11-21 12:29:37.600185,2025-12-21 12:29:37.600185,30,"[np.str_('Content Marketing'), np.str_('Influencer'), np.str_('Website')]","{'age_min': np.int64(25), 'age_max': np.int64(49), 'gender': np.str_('Female'), 'income': np.str_('All')}","{'primary_message': np.str_('Entertaining'), 'tone': np.str_('Professional'), 'frequency': np.str_('Bi-weekly')}","{'reach': 75804, 'impressions': 294074, 'engagements': 11592, 'clicks': 5470, 'conversions': 289, 'engagement_rate': 0.039418649727619576, 'click_through_rate': 0.01860076035283636, 'conversion_rate': 0.05283363802559415, 'campaign_id': 'C019', 'campaign_type': np.str_('Product Launch'), 'budget': 41171.08, 'roi': -16.4, 'effectiveness_score': 24.3}","{'likes': 5073, 'shares': 2998, 'comments': 4601, 'saves': 664}","{'positive': 0.699, 'neutral': 0.307, 'negative': -0.006, 'sentiment_score': 0.706}","{'media_mentions': 12, 'earned_media_value': 22567.78, 'share_of_voice': 0.187}","{'awareness_lift': 21.1, 'favorability_change': 11.6, 'purchase_intent_increase': 2.8}","{'total_value_generated': 34404.96, 'roi_percentage': -16.4, 'effectiveness_score': 24.3}"
C020,Campaign 20: Brand Awareness,Brand Awareness,Drive Sales,31436.58,2025-10-12 12:29:37.601325,2025-11-11 12:29:37.601325,30,"[np.str_('PR'), np.str_('Email'), np.str_('Events'), np.str_('Social Media')]","{'age_min': np.int64(18), 'age_max': np.int64(38), 'gender': np.str_('Male'), 'income': np.str_('Medium')}","{'primary_message': np.str_('Educational'), 'tone': np.str_('Humorous'), 'frequency': np.str_('Weekly')}","{'reach': 57826, 'impressions': 155735, 'engagements': 4483, 'clicks': 2611, 'conversions': 254, 'engagement_rate': 0.02878607891610749, 'click_through_rate': 0.016765659614088033, 'conversion_rate': 0.09728073535044045, 'campaign_id': 'C020', 'campaign_type': np.str_('Brand Awareness'), 'budget': 31436.58, 'roi': -21.9, 'effectiveness_score': 20.2}","{'likes': 1968, 'shares': 1118, 'comments': 1306, 'saves': 372}","{'positive': 0.738, 'neutral': 0.372, 'negative': -0.11, 'sentiment_score': 0.849}","{'media_mentions': 14, 'earned_media_value': 7321.81, 'share_of_voice': 0.22}","{'awareness_lift': 15.9, 'favorability_change': 6.0, 'purchase_intent_increase': 4.6}","{'total_value_generated': 24553.08, 'roi_percentage': -21.9, 'effectiveness_score': 20.2}"
